grupo;id;url_fonte;bairro;area_total_m2;valor_anunciado
31;vivar-2777483455;https://www.vivareal.com.br/imovel/lote-terreno-jardim-holanda-bairros-uberlandia-10710m2-venda-RS12000000-id-2777483455/;Jardim Holanda;10710;12000000
32;zapim-2795621609;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-cruzeiro-dos-peixotos-uberlandia-mg-5000m2-id-2795621609/;Cruzeiro dos Peixotos;5000;940000
32;zapim-2795628847;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-cruzeiro-dos-peixotos-uberlandia-mg-5000m2-id-2795628847/;Cruzeiro dos Peixotos;5000;940000
32;vivar-2795621609;https://www.vivareal.com.br/imovel/lote-terreno-cruzeiro-dos-peixotos-bairros-uberlandia-5000m2-venda-RS940000-id-2795621609/;Cruzeiro dos Peixotos;5000;940000
32;vivar-2795628847;https://www.vivareal.com.br/imovel/lote-terreno-cruzeiro-dos-peixotos-bairros-uberlandia-5000m2-venda-RS940000-id-2795628847/;Cruzeiro dos Peixotos;5000;940000
33;zapim-2800902974;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5221m2-id-2800902974/;Mansões Aeroporto;5221;1312500
33;zapim-2841689601;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5193m2-id-2841689601/;Mansões Aeroporto;5193;1350000
33;zapim-2879979110;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5221m2-id-2879979110/;Mansões Aeroporto;5221;1350000
33;zapim-2886911989;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5193m2-id-2886911989/;Mansões Aeroporto;5193;1250000
33;zapim-2895656075;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5193m2-id-2895656075/;Mansões Aeroporto;5193;1316250
